Model,Organization,Publication date,Domain,Confidence,Link,Reference,Authors,Organization categorization,Country (of organization),Notability criteria
DeBERTa,Microsoft,2021-06-10,Language,confident,https://arxiv.org/abs/2006.03654,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,"Pengcheng He, Xiaodong Liu, Jianfeng Gao, Weizhu Chen",Industry,United States of America,"Highly cited,SOTA improvement"
EMDR,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),McGill University,DeepMind",2021-06-09,Language,confident,https://arxiv.org/abs/2106.05346v2,End-to-End Training of Multi-Document Reader and Retriever for Open-Domain Question Answering,"Devendra Singh Sachan, Siva Reddy, William Hamilton, Chris Dyer, Dani Yogatama","Academia,Academia,Industry","Canada,Canada,United Kingdom of Great Britain and Northern Ireland",SOTA improvement
CoAtNet,"Google,Google Research,Google Brain",2021-06-09,Vision,confident,https://arxiv.org/abs/2106.04803v2,"CoAtNet: Marrying Convolution and Attention
for All Data Sizes","Zihang Dai, Hanxiao Liu, Quoc V. Le, Mingxing Tan","Industry,Industry,Industry","United States of America,Multinational,United States of America,Canada,Switzerland,United States of America",SOTA improvement
ViT-G/14,"Google Brain,Google Research",2021-06-08,Vision,confident,https://arxiv.org/abs/2106.04560,Scaling Vision Transformers,"X Zhai, A Kolesnikov, N Houlsby, L Beyer","Industry,Industry","United States of America,Multinational,United States of America,Canada,Switzerland",SOTA improvement
ByT5-XXL,"Google,Google Research",2021-05-28,Language,likely,https://arxiv.org/abs/2105.13626,ByT5: Towards a token-free future with pre-trained byte-to-byte models,"Linting Xue, Aditya Barua, Noah Constant, Rami Al-Rfou, Sharan Narang, Mihir Kale, Adam Roberts, Colin Raffel","Industry,Industry","United States of America,Multinational,United States of America,Canada,Switzerland",SOTA improvement
Transformer local-attention (NesT-B),"Google Cloud,Google Research",2021-05-26,Vision,confident,https://arxiv.org/abs/2105.12723v4,"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding","Zizhao Zhang, Han Zhang, Long Zhao, Ting Chen, Sercan Arık, Tomas Pfister","Industry,Industry","Multinational,United States of America,Multinational,United States of America,Canada,Switzerland",Highly cited
CogView,"Tsinghua University,Alibaba DAMO Academy",2021-05-26,Image generation,likely,https://arxiv.org/abs/2105.13290,CogView: Mastering Text-to-Image Generation via Transformers,"M Ding, Z Yang, W Hong, W Zheng, C Zhou","Academia,Industry","China,China",SOTA improvement
MedBERT,"Peng Cheng Laboratory,University of Texas at Houston",2021-05-20,Medicine,likely,https://www.nature.com/articles/s41746-021-00455-y,Med-BERT: pretrained contextualized embeddings on large-scale structured electronic health records for disease prediction,"Laila Rasmy, Yang Xiang, Ziqian Xie, Cui Tao, Degui Zhi","Academia,Academia","China,United States of America",SOTA improvement
ADM,OpenAI,2021-05-11,Image generation,confident,https://arxiv.org/abs/2105.05233,Diffusion Models Beat GANs on Image Synthesis,"Prafulla Dhariwal, Alex Nichol",Industry,United States of America,"Highly cited,SOTA improvement"
ProtT5-XXL-BFD,"Technical University of Munich,Med AI Technology,NVIDIA,Oak Ridge National Laboratory,Google,Seoul National University",2021-05-04,Biology,confident,"https://www.biorxiv.org/content/10.1101/2020.07.12.199554v3 or 
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9477085",ProtTrans:Towards Cracking the Language of Life's Code Through Self-Supervised Learning,"Ahmed Elnaggar, Michael Heinzinger,  Christian Dallago, Ghalia Rehawi, Yu Wang, Llion Jones, Tom Gibbs, Tamas Feher, Christoph Angerer, Martin Steinegger, Debsindhu Bhowmik, Burkhard Rost","Academia,Industry,Government,Industry,Academia","Germany,China,United States of America,United States of America,United States of America,Korea (Republic of)",SOTA improvement
ProtT5-XXL,"Technical University of Munich,Med AI Technology,NVIDIA,Oak Ridge National Laboratory,Google,Seoul National University",2021-05-04,Biology,confident,"https://www.biorxiv.org/content/10.1101/2020.07.12.199554v3 or 
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9477085",ProtTrans: Towards Cracking the Language of Life’s Code Through Self-Supervised Learning,"A Elnaggar, M Heinzinger, C Dallago, G Rihawi","Academia,Industry,Government,Industry,Academia","Germany,China,United States of America,United States of America,United States of America,Korea (Republic of)",SOTA improvement
ProtT5-XL-U50,Google,2021-05-04,Biology,confident,https://www.biorxiv.org/content/10.1101/2020.07.12.199554v3.full.pdf,Gemini: A Family of Highly Capable Multimodal Models,"Ahmed Elnaggar, Michael Heinzinger, View ORCID ProfileChristian Dallago, Ghalia Rehawi, Yu Wang, Llion Jones, Tom Gibbs, Tamas Feher, Christoph Angerer, Martin Steinegger, View ORCID ProfileDebsindhu Bhowmik, Burkhard Rost",Industry,United States of America,Highly cited
ProtBERT-BFD,"Technical University of Munich,NVIDIA,Seoul National University,Google,Oak Ridge National Laboratory,Med AI Technology",2021-05-04,Biology,confident,"https://www.biorxiv.org/content/10.1101/2020.07.12.199554v3 or 
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9477085",ProtTrans:Towards Cracking the Language of Life's Code Through Self-Supervised Learning,"Ahmed Elnaggar, Michael Heinzinger,  Christian Dallago, Ghalia Rehawi, Yu Wang, Llion Jones, Tom Gibbs, Tamas Feher, Christoph Angerer, Martin Steinegger,  Debsindhu Bhowmik, Burkhard Rost","Academia,Industry,Academia,Industry,Government","Germany,United States of America,Korea (Republic of),United States of America,United States of America,China",SOTA improvement
ViT + DINO,"INRIA,Facebook AI Research",2021-04-29,Vision,confident,https://arxiv.org/abs/2104.14294,Emerging Properties in Self-Supervised Vision Transformers,"Mathilde Caron, Hugo Touvron, Ishan Misra, Hervé Jégou, Julien Mairal, Piotr Bojanowski, Armand Joulin","Academia,Industry","France,United States of America",Highly cited
PLUG,Alibaba,2021-04-19,Language,confident,https://mp.weixin.qq.com/s/DAQomIkDa52Sef-ruyH5qg,Gemini: A Family of Highly Capable Multimodal Models,Gemini Team,Industry,China,SOTA improvement
M6-T,Alibaba,2021-03-05,"Multimodal,Language,Vision",likely,https://arxiv.org/abs/2105.15082,M6-T: Exploring Sparse Expert Models and Beyond,"An Yang, Junyang Lin, Rui Men, Chang Zhou, Le Jiang, Xianyan Jia, Ang Wang, Jie Zhang, Jiamang Wang, Yong Li, Di Zhang, Wei Lin, Lin Qu, Jingren Zhou, Hongxia Yang",Industry,China,SOTA improvement
Generative BST,Facebook AI Research,2021-03-05,Language,confident,https://arxiv.org/abs/2004.13637,Recipes for building an open-domain chatbot,"Stephen Roller, Emily Dinan, Naman Goyal, Da Ju, Mary Williamson, Yinhan Liu, Jing Xu, Myle Ott, Kurt Shuster, Eric M. Smith, Y-Lan Boureau, Jason Weston",Industry,United States of America,SOTA improvement
Meta Pseudo Labels,"Google Brain,Google AI",2021-03-01,Vision,confident,https://arxiv.org/abs/2003.10580,Meta pseudo labels,"Hieu Pham, Zihang Dai, Qizhe Xie, Minh-Thang Luong, and Quoc V. Le","Industry,Industry","United States of America,Multinational,United States of America",SOTA improvement
SRU++ Large,ASAPP,2021-02-24,Language,confident,https://arxiv.org/abs/2102.12459,When Attention Meets Fast Recurrence: Training Language Models with Reduced Compute,Tao Lei,Industry,United States of America,SOTA improvement
Rational DQN Average,TU Darmstadt,2021-02-18,Games,confident,https://openreview.net/forum?id=gnRmI8TatHV,Recurrent Rational Networks,"Q Delfosse, P Schramowski, A Molina",Academia,Germany,SOTA improvement
MSA Transformer,"Facebook AI Research,University of California (UC) Berkeley,New York University (NYU)",2021-02-13,Biology,likely,https://proceedings.mlr.press/v139/rao21a/rao21a.pdf,MSA Transformer,"Roshan Rao, Jason Liu, Robert Verkuil, Joshua Meier, John F. Canny, Pieter Abbeel, Tom Sercu, Alexander Rives","Industry,Academia,Academia","United States of America,United States of America,United States of America",SOTA improvement
top-down frozen classifier,"University of Edinburgh,Toshiba Cambridge Research Laboratory",2021-02-09,Speech,confident,https://arxiv.org/abs/2102.04697,Train your classifier first: Cascade Neural Networks Training from upper layers to lower layers,"Shucong Zhang, Cong-Thanh Do, Rama Doddipatla, Erfan Loweimi, Peter Bell, Steve Renals","Academia,Industry","United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",SOTA improvement
DeiT-B,"Meta AI,Sorbonne University",2021-01-15,Vision,confident,https://arxiv.org/abs/2012.12877,Training data-efficient image transformers & distillation through attention,"Hugo Touvron, Matthieu Cord, Matthijs Douze, Francisco Massa, Alexandre Sablayrolles, Hervé Jégou","Industry,Academia","United States of America,France",Highly cited
Switch,Google,2021-01-11,Language,confident,https://arxiv.org/abs/2101.03961,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,"William Fedus, Barret Zoph, Noam Shazeer",Industry,United States of America,"Highly cited,SOTA improvement"
BigSSL,"Google,Apple",2021-01-10,Speech,confident,https://arxiv.org/abs/2109.13226,BigSSL: Exploring the Frontier of Large-Scale Semi-Supervised Learning for Automatic Speech Recognition,"Yu Zhang,  Daniel S. Park, Wei Han,James Qin, Anmol Gulati, Joel Shor, Aren Jansen, Yuanzhong Xu, Yanping Huang, Shibo Wang, Zongwei Zhou, Bo Li, Min Ma, William Chan, Jiahui Yu, Yongqiang Wang, Liangliang Cao, Khe Chai Sim, Bhuvana Ramabhadran, Tara N. Sainath, Françoise Beaufays, Zhifeng Chen, Quoc V. Le, Chung-Cheng Chiu, Ruoming Pang and Yonghui Wu","Industry,Industry","United States of America,United States of America",SOTA improvement
DALL-E,OpenAI,2021-01-05,Image generation,confident,"https://openai.com/blog/dall-e/

https://arxiv.org/abs/2102.12092",Zero-Shot Text-to-Image Generation,"Aditya Ramesh, Mikhail Pavlov, Gabriel Goh, Scott Gray, Chelsea Voss, Alec Radford, Mark Chen, Ilya Sutskever",Industry,United States of America,"Significant use,Highly cited"
CLIP (ViT L/14@336px),OpenAI,2021-01-05,"Multimodal,Vision,Language,Video",confident,https://arxiv.org/abs/2103.00020,Learning Transferable Visual Models From Natural Language Supervision,"Alec Radford, Jong Wook Kim, Chris Hallacy, Aditya Ramesh, Gabriel Goh, Sandhini Agarwal, Girish Sastry, Amanda Askell, Pamela Mishkin, Jack Clark, Gretchen Krueger, Ilya Sutskever",Industry,United States of America,"Highly cited,SOTA improvement"
CLIP (ResNet-50),OpenAI,2021-01-05,"Multimodal,Vision,Language,Video",confident,https://arxiv.org/abs/2103.00020,Learning Transferable Visual Models From Natural Language Supervision,"Alec Radford, Jong Wook Kim, Chris Hallacy, Aditya Ramesh, Gabriel Goh, Sandhini Agarwal, Girish Sastry, Amanda Askell, Pamela Mishkin, Jack Clark, Gretchen Krueger, Ilya Sutskever",Industry,United States of America,"Highly cited,SOTA improvement"
ERNIE-Doc (247M),Baidu,2020-12-31,Language,confident,https://arxiv.org/abs/2012.15688,ERNIE-Doc: A Retrospective Long-Document Modeling Transformer,"Siyu Ding, Junyuan Shang, Shuohuan Wang, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang",Industry,China,SOTA improvement
CT-MoS (WT2),"Google,National Tsing Hua University",2020-12-25,Language,confident,https://arxiv.org/abs/2012.13575,Contextual Temperature for Language Modeling,"Pei-Hsin Wang, Sheng-Iou Hsieh, Shih-Chieh Chang, Yu-Ting Chen, Jia-Yu Pan, Wei Wei, Da-Chang Juan","Industry,Academia","United States of America,Taiwan",SOTA improvement
DensePhrases,"Korea University,Princeton University",2020-12-23,Language,speculative,https://arxiv.org/abs/2012.12624v3,Learning Dense Representations of Phrases at Scale,"Jinhyuk Lee, Mujeen Sung, Jaewoo Kang, Danqi Chen","Academia,Academia","Korea (Republic of),United States of America",SOTA improvement
VQGAN + CLIP,Heidelberg University,2020-12-17,Image generation,confident,https://arxiv.org/abs/2012.09841,Taming Transformers for High-Resolution Image Synthesis,"Patrick Esser, Robin Rombach, Björn Ommer",Academia,Germany,"Highly cited,SOTA improvement"
ESM1b,"Facebook AI Research,New York University (NYU)",2020-12-15,Biology,confident,https://www.pnas.org/doi/abs/10.1073/pnas.2016239118,Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,"Alexander Rives, Joshua Meier, Tom Sercu, Siddharth Goyal, Zeming Lin, Jason Liu, Demi Guo, Myle Ott, C. Lawrence Zitnick, Jerry Ma, and Rob Fergus","Industry,Academia","United States of America,United States of America","Highly cited,SOTA improvement"
CPM-Large,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",2020-12-01,Language,confident,https://arxiv.org/abs/2012.00413,CPM: A Large-scale Generative Chinese Pre-trained Language Model,"Z Zhang, X Han, H Zhou, P Ke, Y Gu, D Ye, Y Qin, Y Su","Academia,Academia","China,China",SOTA improvement
AlphaFold 2,DeepMind,2020-11-30,Biology,likely,https://www.nature.com/articles/s41586-021-03819-2,Highly accurate protein structure prediction with AlphaFold,"John Jumper, Richard Evans, Alexander Pritzel, Tim Green, Michael Figurnov, Kathryn Tunyasuvunakool, Olaf Ronneberger, Russ Bates, Augustin Žídek, Alex Bridgland, Clemens Meyer, Simon A A Kohl, Anna Potapenko, Andrew J Ballard, Andrew Cowie, Bernardino Romera-Paredes, Stanislav Nikolov, Rishub Jain, Jonas Adler, Trevor Back, Stig Petersen, David Reiman, Martin Steinegger, Michalina Pacholska, David Silver, Oriol Vinyals, Andrew W Senior, Koray Kavukcuoglu, Pushmeet Kohli, Demis Hassabis.",Industry,United Kingdom of Great Britain and Northern Ireland,"Historical significance,Highly cited"
KEPLER,"Tsinghua University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),HEC,CIFAR AI Research,Princeton University,University of Montreal / Université de Montréal",2020-11-23,Language,confident,https://arxiv.org/abs/1911.06136,KEPLER: A Unified Model for Knowledge Embedding and Pre- trained Language Representation.,"Xiaozhi Wang, Tianyu Gao, Zhaocheng Zhu, Zhiyuan Liu, Juanzi Li, and Jian Tang.","Academia,Academia,Academia,Research collective,Academia,Academia","China,Canada,France,Canada,United States of America,Canada",SOTA improvement
SimCLRv2,Google Brain,2020-10-26,Vision,confident,https://arxiv.org/abs/2006.10029,Big self- supervised models are strong semi-supervised learners.,"Ting Chen, Simon Kornblith, Kevin Swersky, Mohammad Norouzi, and Geoffrey Hinton",Industry,United States of America,Highly cited
wave2vec 2.0 LARGE,Facebook,2020-10-22,Speech,confident,https://arxiv.org/abs/2006.11477,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,"Alexei Baevski, Henry Zhou, Abdelrahman Mohamed, Michael Auli",Industry,United States of America,"Highly cited,SOTA improvement"
ViT-Huge/14,"Google Brain,Google Research",2020-10-22,Vision,confident,https://arxiv.org/abs/2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby","Industry,Industry","United States of America,Multinational,United States of America,Canada,Switzerland",Highly cited
ViT-Base/32,Google Brain,2020-10-22,Vision,confident,https://arxiv.org/abs/2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",Industry,United States of America,Highly cited
German ELECTRA Large,"deepset,Bayerische Staatsbibliothek Muenchen",2020-10-21,Language,confident,https://arxiv.org/abs/2010.10906,German's Next Language Model,"Branden Chan, Stefan Schweter, Timo Möller","Industry,Government","Germany,Germany",SOTA improvement
GBERT-Large,"deepset,Bayerische Staatsbibliothek Muenchen",2020-10-21,Language,likely,https://arxiv.org/abs/2010.10906,German's Next Language Model,"Branden Chan, Stefan Schweter, Timo Möller","Industry,Government","Germany,Germany",SOTA improvement
mT5-XXL,"Google,Google Research",2020-10-20,Language,confident,https://aclanthology.org/2021.naacl-main.41/,mT5: A Massively Multilingual Pre-trained Text-to-Text Transformer,"Linting Xue, Noah Constant, Adam Roberts, Mihir Kale, Rami Al-Rfou, Aditya Siddhant, Aditya Barua, Colin Raffel","Industry,Industry","United States of America,Multinational,United States of America,Canada,Switzerland","Highly cited,SOTA improvement"
Conformer + Wav2vec 2.0 + Noisy Student,"Google,Google Research,Google Brain",2020-10-20,Speech,confident,https://arxiv.org/abs/2010.10504v2,Pushing the Limits of Semi-Supervised Learning for Automatic Speech Recognition,"Yu Zhang, James Qin, Daniel S. Park, Wei Han, Chung-Cheng Chiu, Ruoming Pang, Quoc V. Le, Yonghui Wu","Industry,Industry,Industry","United States of America,Multinational,United States of America,Canada,Switzerland,United States of America",SOTA improvement
LUKE,"University of Washington,National Institute of Informatics",2020-10-02,Language,likely,https://arxiv.org/abs/2010.01057v1,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,"Ikuya Yamada, Akari Asai, Hiroyuki Shindo, Hideaki Takeda, Yuji Matsumoto",Academia,"United States of America,Japan",SOTA improvement
ProBERTa,"University of Illinois Urbana-Champaign (UIUC),Reed College",2020-09-01,Biology,confident,https://dl.acm.org/doi/10.1145/3388440.3412467,Transforming the Language of Life: Transformer Neural Networks for Protein Prediction Tasks,"Ananthan Nambiar, Maeve Heflin, Simon Liu, Sergei Maslov, Mark Hopkins, Anna Ritz","Academia,Academia","United States of America,United States of America",SOTA improvement
ERNIE-GEN (large),Baidu,2020-08-06,Language,speculative,https://arxiv.org/abs/2001.11314,ERNIE-GEN: An Enhanced Multi-Flow Pre-training and Fine-tuning Framework for Natural Language Generation,"Dongling Xiao, Han Zhang, Yukun Li, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang",Industry,China,SOTA improvement
DeLighT,"University of Washington,Allen Institute for AI,Facebook AI Research",2020-08-03,Language,likely,https://arxiv.org/abs/2008.00623,DeLighT: Deep and Light-weight Transformer,"Sachin Mehta, Marjan Ghazvininejad, Srinivasan Iyer, Luke Zettlemoyer, Hannaneh Hajishirzi","Academia,Research collective,Industry","United States of America,United States of America,United States of America",SOTA improvement
EfficientDet,Google Brain,2020-07-27,Vision,confident,https://arxiv.org/abs/1911.09070,EfficientDet: Scalable and Efficient Object Detection,"Mingxing Tan, Ruoming Pang, Quoc V. Le",Industry,United States of America,"Highly cited,SOTA improvement"
Hopfield Networks (2020),"Johannes Kepler University Linz,Institute of Advanced Research in Artificial Intelligence,University of Oslo",2020-07-16,"Biology,Vision,Language,Medicine",confident,https://arxiv.org/abs/2008.02217,Hopfield Networks is All You Need,"Hubert Ramsauer, Bernhard Schäfl, Johannes Lehner, Philipp Seidl, Michael Widrich, Thomas Adler, Lukas Gruber, Markus Holzleitner, Milena Pavlović, Geir Kjetil Sandve, Victor Greiff, David Kreil, Michael Kopp, Günter Klambauer, Johannes Brandstetter, Sepp Hochreiter","Academia,Academia,Academia","Austria,Austria,Norway",SOTA improvement
SemExp,"Carnegie Mellon University (CMU),Facebook AI Research",2020-07-02,Robotics,confident,https://proceedings.neurips.cc/paper/2020/file/2c75cf2681788adaca63aa95ae028b22-Paper.pdf,Object Goal Navigation using Goal-Oriented Semantic Exploration,"Devendra Singh Chaplot, Dhiraj Gandhi, Abhinav Gupta, Ruslan Salakhutdinov","Academia,Industry","United States of America,United States of America",SOTA improvement
GShard (dense),Google,2020-06-30,Language,confident,https://arxiv.org/abs/2006.16668,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,"Dmitry Lepikhin, HyoukJoong Lee, Yuanzhong Xu, Dehao Chen, Orhan Firat, Yanping Huang, Maxim Krikun, Noam Shazeer, Zhifeng Chen",Industry,United States of America,SOTA improvement
iGPT-XL,OpenAI,2020-06-17,"Vision,Image generation",confident,https://openai.com/research/image-gpt,Generative Pretraining from Pixels,"Mark Chen, Alec Radford, Rewon Child, Jeff Wu, Heewoo Jun, Prafulla Dhariwal, David Luan, Ilya Sutskever",Industry,United States of America,Highly cited
iGPT-L,OpenAI,2020-06-17,"Image generation,Vision",confident,https://openai.com/blog/image-gpt/,Generative Pretraining from Pixels,"Mark Chen, Alec Radford, Rewon Child, Jeff Wu, Heewoo Jun, Prafulla Dhariwal, David Luan, Ilya Sutskever",Industry,United States of America,Highly cited
GPT-3 175B (davinci),OpenAI,2020-05-28,Language,confident,https://arxiv.org/abs/2005.14165,Language Models are Few-Shot Learners,"Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel M. Ziegler, Jeffrey Wu, Clemens Winter, Christopher Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, Dario Amodei",Industry,United States of America,"Highly cited,Training cost"
DETR,Facebook,2020-05-26,Vision,confident,https://arxiv.org/abs/2005.12872,End-to-End Object Detection with Transformers,"Nicolas Carion, Francisco Massa, Gabriel Synnaeve, Nicolas Usunier, Alexander Kirillov, Sergey Zagoruyko",Industry,United States of America,Highly cited
Retrieval-Augmented Generator,"Facebook,New York University (NYU),University College London (UCL)",2020-05-22,Language,confident,https://arxiv.org/abs/2005.11401v4,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Patrick Lewis, Ethan Perez, Aleksandra Piktus, Fabio Petroni, Vladimir Karpukhin, Naman Goyal, Heinrich Küttler, Mike Lewis, Wen-tau Yih, Tim Rocktäschel, Sebastian Riedel, Douwe Kiela","Industry,Academia,Academia","United States of America,United States of America,United Kingdom of Great Britain and Northern Ireland","Highly cited,SOTA improvement"
Conformer,Google,2020-05-16,Speech,confident,https://arxiv.org/abs/2005.08100v1,Conformer: Convolution-augmented Transformer for Speech Recognition,"Anmol Gulati, James Qin, Chung-Cheng Chiu, Niki Parmar, Yu Zhang, Jiahui Yu, Wei Han, Shibo Wang, Zhengdong Zhang, Yonghui Wu, Ruoming Pang",Industry,United States of America,"Highly cited,SOTA improvement"
ContextNet,Google,2020-05-07,Speech,likely,https://arxiv.org/abs/2005.03191v3,ContextNet: Improving Convolutional Neural Networks for Automatic Speech Recognition with Global Context,"Wei Han, Zhengdong Zhang, Yu Zhang, Jiahui Yu, Chung-Cheng Chiu, James Qin, Anmol Gulati, Ruoming Pang, Yonghui Wu",Industry,United States of America,SOTA improvement
NAS+ESS (156M),"Northeastern University (China),Chinese Academy of Sciences,NiuTrans Research,Kingsoft",2020-05-06,Language,confident,https://arxiv.org/abs/2005.02593,Learning Architectures from an Extended Search Space for Language Modeling,"Yinqiao Li, Chi Hu, Yuhao Zhang, Nuo Xu, Yufan Jiang, Tong Xiao, Jingbo Zhu, Tongran Liu, Changliang Li","Academia,Academia,Industry","China,China,China,China",SOTA improvement
UnifiedQA,"Allen Institute for AI,University of Washington",2020-05-02,Language,confident,https://arxiv.org/abs/2005.00700v3,UnifiedQA: Crossing Format Boundaries With a Single QA System,"Daniel Khashabi, Sewon Min, Tushar Khot, Ashish Sabharwal, Oyvind Tafjord, Peter Clark, Hannaneh Hajishirzi","Research collective,Academia","United States of America,United States of America",SOTA improvement
ATLAS,"Allen Institute for AI,University of Washington",2020-05-02,Language,confident,https://arxiv.org/abs/2005.00700,UnifiedQA: Crossing Format Boundaries With a Single QA System,"Daniel Khashabi, Sewon Min, Tushar Khot, Ashish Sabharwal, Oyvind Tafjord, Peter Clark, Hannaneh Hajishirzi","Research collective,Academia","United States of America,United States of America",SOTA improvement
Once for All,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT),IBM",2020-04-29,Vision,confident,https://arxiv.org/abs/1908.09791,Once for all: Train one network and specialize it for efficient deployment.,"Han Cai, Chuang Gan, Tianzhe Wang, Zhekai Zhang, and Song Han","Academia,Industry,Academia,Industry","United States of America,United States of America,United States of America",SOTA improvement
Go-explore,"Uber AI,OpenAI",2020-04-27,Games,confident,https://arxiv.org/abs/2004.12919,"First return, then explore","Adrien Ecoffet, Joost Huizinga, Joel Lehman, Kenneth O. Stanley, Jeff Clune","Industry,Industry","United States of America,United States of America",SOTA improvement
CURL,University of California (UC) Berkeley,2020-04-08,Games,confident,https://arxiv.org/abs/2004.04136v4,CURL: Contrastive Unsupervised Representations for Reinforcement Learning,"A Srinivas, M Laskin, P Abbeel",Academia,United States of America,SOTA improvement
Agent57,DeepMind,2020-03-30,Games,confident,https://arxiv.org/abs/2003.13350,Agent57: Outperforming the Atari Human Benchmark,"AP Badia, B Piot, S Kapturowski",Industry,United Kingdom of Great Britain and Northern Ireland,SOTA improvement
MetNet,Google,2020-03-24,Earth science,confident,https://arxiv.org/abs/2003.12140,MetNet: A Neural Weather Model for Precipitation Forecasting,"Casper Kaae Sønderby, Lasse Espeholt, Jonathan Heek, Mostafa Dehghani, Avital Oliver, Tim Salimans, Shreya Agrawal, Jason Hickey, Nal Kalchbrenner",Industry,United States of America,SOTA improvement
ELECTRA,"Stanford University,Google,Google Brain",2020-03-23,Language,likely,https://arxiv.org/abs/2003.10555v1,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,"Kevin Clark, Minh-Thang Luong, Quoc V. Le, Christopher D. Manning","Academia,Industry,Industry","United States of America,United States of America,United States of America",Highly cited
Tensor-Transformer(1core)+PN (WT103),University of California (UC) Berkeley,2020-03-17,Language,confident,https://arxiv.org/abs/2003.07845,PowerNorm: Rethinking Batch Normalization in Transformers,"Sheng Shen, Zhewei Yao, Amir Gholami, Michael W. Mahoney, Kurt Keutzer",Academia,United States of America,SOTA improvement
Routing Transformer (WT-103),Google Research,2020-03-12,Language,confident,https://arxiv.org/abs/2003.05997,Efficient Content-Based Sparse Attention with Routing Transformers,"Aurko Roy, Mohammad Saffar, Ashish Vaswani, David Grangier",Industry,"Multinational,United States of America,Canada,Switzerland",SOTA improvement
TransformerXL + spectrum control,"University of California Los Angeles (UCLA),JD.com",2020-03-11,Language,speculative,https://openreview.net/forum?id=ByxY8CNtvr,Improving Neural Language Generation with Spectrum Control,"Lingxiao Wang, Jing Huang, Kevin Huang, Ziniu Hu, Guangtao Wang, Quanquan Gu","Academia,Industry","United States of America,China",SOTA improvement
TCAN (WT2),"Nanjing University,Ant Group",2020-02-28,Language,confident,https://arxiv.org/abs/2002.12530,Temporal Convolutional Attention-based Network For Sequence Modeling,"Hongyan Hao, Yan Wang, Yudi Xia, Jian Zhao, Furao Shen","Academia,Industry","China,China",SOTA improvement
Feedback Transformer,"LORIA,University of Lorraine,Facebook AI Research",2020-02-21,Language,speculative,https://arxiv.org/abs/2002.09402,Addressing Some Limitations of Transformers with Feedback Memory,"Angela Fan, Thibaut Lavril, Edouard Grave, Armand Joulin, Sainbayar Sukhbaatar","Academia,Academia,Industry","France,France,United States of America",SOTA improvement
Turing-NLG,Microsoft,2020-02-13,Language,likely,https://www.microsoft.com/en-us/research/blog/turing-nlg-a-17-billion-parameter-language-model-by-microsoft/,Turing-NLG: A 17-billion-parameter language model by Microsoft,Corby Rosset,Industry,United States of America,SOTA improvement
SimCLR,Google Brain,2020-02-13,Vision,confident,https://arxiv.org/abs/2002.05709,A Simple Framework for Contrastive Learning of Visual Representations,"Ting Chen, Simon Kornblith, Mohammad Norouzi, Geoffrey Hinton",Industry,United States of America,Highly cited
ALBERT-xxlarge,"Toyota Technological Institute at Chicago,Google",2020-02-09,Language,speculative,https://arxiv.org/abs/1909.11942,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations.,"Zhenzhong Lan, Mingda Chen, Sebastian Goodman, Kevin Gimpel, Piyush Sharma, and Radu Soricut","Academia,Industry","United States of America,United States of America",Highly cited
